,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,hilo,90,US,1575507863,73,19.71,-155.08,75.2,6.93
1,jamestown,0,AU,1575507909,10,-33.21,138.6,78.76,11.54
2,sao filipe,93,CV,1575507909,84,14.9,-24.5,69.84,18.43
3,oriximina,12,BR,1575507909,61,-1.77,-55.87,84.58,3.8
4,aklavik,75,CA,1575507909,75,68.22,-135.01,-11.2,5.82
5,kavieng,48,PG,1575507909,69,-2.57,150.8,83.5,2.91
6,rikitea,86,PF,1575507909,74,-23.12,-134.97,79.47,2.35
7,bredasdorp,1,ZA,1575507909,59,-34.53,20.04,64.4,13.87
8,kadirli,99,TR,1575507910,81,37.37,36.09,51.73,2.77
9,faanui,60,PF,1575507910,72,-16.48,-151.75,82.76,10.04
10,vaini,53,IN,1575507910,88,15.34,74.49,66.2,10.45
11,ushuaia,75,AR,1575507761,65,-54.81,-68.31,50.0,27.51
12,buala,73,SB,1575507910,72,-8.15,159.59,84.72,9.69
13,malaba,89,UG,1575507910,90,0.64,34.26,62.8,1.25
14,albany,90,US,1575507910,74,42.65,-73.75,34.0,4.7
15,kaitangata,47,NZ,1575507911,63,-46.28,169.85,56.75,14.16
16,manggar,76,ID,1575507911,74,-2.88,108.27,83.41,9.08
17,port-gentil,87,GA,1575507911,82,-0.72,8.78,80.51,12.44
18,dengfeng,64,CN,1575507911,35,34.46,113.03,35.69,5.32
19,chokurdakh,100,RU,1575507911,93,70.62,147.9,-11.34,12.19
20,manyana,0,AU,1575507911,9,-35.26,150.51,86.0,29.97
21,huron,1,US,1575507912,86,44.36,-98.21,33.8,4.45
22,chicama,18,PE,1575507915,82,-7.84,-79.15,68.0,8.05
23,busselton,0,AU,1575507915,23,-33.64,115.35,84.0,8.79
24,laguna,90,BZ,1575507915,100,16.17,-88.94,73.4,3.38
25,provideniya,75,RU,1575507915,62,64.42,-173.23,19.4,24.61
26,new norfolk,75,AU,1575507915,37,-42.78,147.06,66.2,26.4
27,mataura,100,NZ,1575507915,50,-46.19,168.86,58.75,14.61
28,pimenteiras,51,BR,1575507915,83,-6.24,-41.42,73.81,2.33
29,alpinopolis,77,BR,1575507915,97,-20.86,-46.39,67.19,8.14
30,port hedland,42,AU,1575507915,66,-20.31,118.58,89.6,11.41
31,dikson,100,RU,1575507915,96,73.51,80.55,-5.91,9.82
32,deputatskiy,98,RU,1575507916,99,69.3,139.9,-19.71,1.97
33,carballo,40,ES,1575507916,93,43.21,-8.69,50.0,4.34
34,litovko,90,RU,1575507916,90,49.24,135.18,-5.49,8.9
35,hasaki,75,JP,1575507916,65,35.73,140.83,50.0,2.24
36,hithadhoo,100,MV,1575507916,79,-0.6,73.08,82.56,8.39
37,kahului,40,US,1575507916,69,20.89,-156.47,79.0,16.11
38,ormara,100,PK,1575507916,45,25.21,64.64,77.43,6.49
39,punta arenas,20,CL,1575507916,70,-53.16,-70.91,48.2,34.45
40,klaksvik,100,FO,1575507917,69,62.23,-6.59,37.4,24.16
41,mar del plata,88,AR,1575507758,38,-46.43,-67.52,68.0,7.72
42,kapaa,90,US,1575507917,74,22.08,-159.32,78.8,7.56
43,kamaishi,90,JP,1575507917,92,39.28,141.86,30.2,9.17
44,atuona,14,PF,1575507917,63,-9.8,-139.03,80.6,10.04
45,atambua,91,ID,1575507917,68,-9.11,124.89,82.72,2.64
46,mega,66,ET,1575507917,79,4.06,38.32,65.39,4.65
47,narsaq,95,GL,1575507917,33,60.91,-46.05,15.8,5.82
48,tuatapere,98,NZ,1575507918,91,-46.13,167.69,48.42,3.49
49,ippy,92,CF,1575507918,39,6.26,21.2,71.65,4.16
50,puerto ayora,20,EC,1575507918,69,-0.74,-90.35,75.2,14.99
51,cape town,0,ZA,1575507821,55,-33.93,18.42,64.0,8.05
52,farafangana,49,MG,1575507919,82,-22.82,47.83,79.05,5.37
53,butaritari,68,KI,1575507919,72,3.07,172.79,85.08,9.24
54,rantepao,100,ID,1575507919,79,-2.97,119.9,73.94,0.94
55,curup,75,ID,1575507919,96,-3.47,102.53,68.07,3.76
56,yulara,0,AU,1575507920,7,-25.24,130.99,91.4,13.87
57,salalah,75,OM,1575507920,51,17.01,54.1,80.6,17.22
58,coari,50,BR,1575507920,81,-4.09,-63.14,78.71,2.82
59,weligama,100,LK,1575507920,92,5.97,80.42,74.41,4.83
60,labuhan,99,ID,1575507920,81,-2.54,115.51,79.43,0.74
61,puerto ayacucho,100,CO,1575507921,70,5.66,-67.63,84.2,6.93
62,bhatapara,49,IN,1575507921,67,21.77,81.81,60.8,5.82
63,hermanus,0,ZA,1575507921,74,-34.42,19.24,61.0,14.0
64,barrow,88,AR,1575507921,75,-38.31,-60.23,50.86,9.64
65,qaanaaq,0,GL,1575507942,73,77.48,-69.36,-4.58,4.7
66,lagoa,61,PT,1575507935,87,37.14,-8.45,48.99,5.82
67,tasiilaq,0,GL,1575507943,57,65.61,-37.64,21.2,9.17
68,cerkezkoy,40,TR,1575507946,93,41.28,28.0,48.99,10.29
69,grindavik,75,IS,1575507949,80,63.84,-22.43,35.6,23.04
70,aanekoski,90,FI,1575507949,93,62.6,25.73,36.0,10.29
71,souillac,95,FR,1575507949,86,45.6,-0.6,41.0,2.24
72,ponta do sol,91,BR,1575507950,97,-20.63,-46.0,67.73,7.23
73,cidreira,38,BR,1575507950,89,-30.17,-50.22,71.2,15.79
74,bluff,0,AU,1575507950,41,-23.58,149.07,88.36,6.17
75,kloulklubed,75,PW,1575507950,74,7.04,134.26,84.2,4.7
76,dunedin,57,NZ,1575507950,70,-45.87,170.5,54.25,12.41
77,port lincoln,0,AU,1575507953,40,-34.72,135.86,72.64,8.37
78,airai,91,TL,1575507956,50,-8.93,125.41,80.33,1.21
79,lebu,89,ET,1575507957,94,8.96,38.73,51.28,1.68
80,kushiro,20,JP,1575507960,49,43.11,144.15,26.6,9.17
81,esperance,90,AU,1575507960,77,-33.86,121.89,62.6,10.29
82,aguimes,75,ES,1575507960,68,27.91,-15.45,66.0,4.7
83,bambous virieux,20,MU,1575507960,88,-20.34,57.76,75.0,3.36
84,vardo,90,US,1575507960,56,39.62,-77.74,42.8,9.17
85,gat,100,SN,1575507960,83,14.69,-16.54,73.4,13.87
86,lavrentiya,83,RU,1575507960,79,65.58,-170.99,14.22,16.22
87,ilulissat,17,GL,1575507961,72,69.22,-51.1,10.4,18.34
88,victoria,75,BN,1575507961,88,5.28,115.24,78.8,10.67
89,valleyview,86,CA,1575507961,96,55.07,-117.28,17.53,2.26
90,bozoum,0,CF,1575507961,39,6.31,16.38,69.35,2.19
91,nyanza,40,RW,1575507964,100,-2.35,29.75,62.6,2.28
92,carnarvon,0,ZA,1575507964,46,-30.97,22.13,51.8,18.43
93,haapiti,20,PF,1575507964,62,-17.57,-149.87,87.8,11.41
94,castro,92,CL,1575507965,76,-42.48,-73.76,53.6,10.29
95,innsbruck,0,AT,1575507965,92,47.27,11.39,32.0,1.12
96,port elizabeth,90,US,1575507965,86,39.31,-74.98,43.0,7.34
97,tubuala,40,PA,1575507965,88,9.52,-79.03,78.8,11.41
98,hobart,75,AU,1575507965,37,-42.88,147.33,66.2,26.4
99,fairview,90,CA,1575507708,72,56.07,-118.38,14.0,3.36
100,avarua,0,CK,1575507965,78,-21.21,-159.78,80.6,14.99
101,severo-kurilsk,48,RU,1575507966,85,50.68,156.12,23.56,5.7
102,arraial do cabo,60,BR,1575507966,84,-22.97,-42.02,73.72,29.57
103,boguchany,0,RU,1575507966,94,58.38,97.46,0.19,4.47
104,georgetown,20,GY,1575507678,78,6.8,-58.16,82.4,9.17
105,mishan,22,CN,1575507966,77,45.55,131.88,-2.6,15.9
106,sosva,100,RU,1575507966,96,59.17,61.86,12.2,5.1
107,torbay,90,CA,1575507966,86,47.66,-52.73,41.0,27.51
108,puerto escondido,40,MX,1575507967,74,15.86,-97.07,82.4,0.98
109,college,90,US,1575507967,77,64.86,-147.8,-2.2,1.5
110,evensk,100,RU,1575507967,82,61.92,159.24,10.65,20.04
111,riyadh,0,SA,1575507967,62,24.63,46.72,55.4,3.36
112,yellowknife,75,CA,1575507939,74,62.45,-114.38,-25.6,6.93
113,tuktoyaktuk,75,CA,1575507967,83,69.44,-133.03,-5.8,23.04
114,norsup,40,VU,1575507967,70,-16.07,167.38,86.0,5.82
115,touros,100,BR,1575507967,78,-5.2,-35.46,78.8,6.93
116,husavik,47,CA,1575507968,95,50.56,-96.99,23.77,4.09
117,chuy,99,UY,1575507838,81,-33.69,-53.46,64.6,7.74
118,talnakh,75,RU,1575507968,77,69.49,88.39,1.4,15.66
119,muzhi,100,RU,1575507968,96,65.4,64.7,5.88,2.8
120,bilma,19,NE,1575507968,19,18.69,12.92,66.42,7.38
121,bilibino,100,RU,1575507969,89,68.06,166.44,-7.28,8.34
122,gurlan,90,UZ,1575507969,86,41.84,60.39,41.0,9.17
123,maniitsoq,89,GL,1575507969,76,65.42,-52.9,16.05,17.63
124,port alfred,71,ZA,1575507969,78,-33.59,26.89,62.01,5.01
125,longonjo,100,AO,1575507969,99,-12.91,15.25,59.85,3.13
126,san nicolas,40,PH,1575507969,83,13.93,120.95,84.0,4.7
127,calamar,35,CO,1575507969,85,1.96,-72.65,76.05,1.66
128,coihaique,40,CL,1575507969,58,-45.58,-72.07,57.2,3.36
129,lyubytino,100,RU,1575507970,96,58.81,33.39,35.47,10.25
130,basco,1,US,1575507970,74,40.33,-91.2,46.4,10.29
131,amuntai,99,ID,1575507970,81,-2.42,115.25,79.43,0.74
132,khasan,0,RU,1575507970,39,42.43,130.64,3.92,22.21
133,amapa,75,HN,1575507970,88,15.09,-87.97,75.2,4.7
134,aranos,100,NA,1575507971,71,-24.14,19.11,65.97,12.21
135,teguldet,32,RU,1575507971,96,57.31,88.17,6.31,5.23
136,kavaratti,97,IN,1575507971,74,10.57,72.64,83.39,9.57
137,cayenne,90,GF,1575507845,83,4.94,-52.33,80.6,3.36
138,yumen,0,CN,1575507971,54,40.29,97.04,16.92,2.73
139,jind,97,IN,1575507971,41,29.31,76.32,55.56,1.68
140,saint anthony,1,US,1575507971,89,43.97,-111.68,32.0,4.7
141,biak,100,ID,1575507972,76,-0.91,122.88,81.48,1.79
142,palmar,40,CO,1575507972,100,6.54,-73.29,69.8,6.93
143,kruisfontein,9,ZA,1575507972,87,-34.0,24.73,51.55,6.85
144,prince rupert,90,CA,1575507972,86,54.32,-130.32,39.2,13.87
145,naze,40,NG,1575507973,88,5.43,7.07,75.2,3.67
146,saint-philippe,90,CA,1575507973,99,45.36,-73.48,33.01,4.7
147,coquimbo,0,CL,1575507973,87,-29.95,-71.34,57.2,9.17
148,sao felix do xingu,100,BR,1575507973,82,-6.64,-51.99,76.03,2.66
149,arlit,0,NE,1575507973,16,18.74,7.39,71.37,4.07
150,keffi,46,NG,1575507973,88,8.85,7.88,69.8,4.7
151,roatan,75,HN,1575507973,94,16.32,-86.54,75.2,15.79
152,pompeia,50,BR,1575507973,82,-22.11,-50.17,76.21,4.45
153,katsuura,75,JP,1575507973,61,33.93,134.5,52.0,10.29
154,adre,0,TD,1575507973,20,13.47,22.2,62.44,9.98
155,khani,90,GE,1575507973,93,41.96,42.96,39.2,3.36
156,east london,100,ZA,1575507974,56,-33.02,27.91,64.04,3.53
157,nelson bay,0,AU,1575507974,17,-32.72,152.14,86.0,14.99
158,port hardy,20,CA,1575507688,88,50.7,-127.42,35.6,4.7
159,barra patuca,0,HN,1575507974,71,15.8,-84.28,80.24,16.17
160,mapiri,100,BO,1575507974,97,-15.31,-68.22,68.29,1.5
161,sao joao da barra,77,BR,1575507974,85,-21.64,-41.05,74.37,17.38
162,larvik,74,NO,1575507975,87,59.05,10.04,46.0,19.46
163,yurgamysh,100,RU,1575507975,95,55.37,64.47,16.61,4.36
164,vangaindrano,0,MG,1575507975,92,-23.35,47.6,70.9,3.09
165,mayo,75,CA,1575507975,76,63.59,-135.9,-5.8,3.36
166,leningradskiy,100,RU,1575507975,85,69.38,178.42,18.34,16.67
167,saldanha,59,PT,1575507975,78,41.42,-6.55,39.27,4.59
168,cherskiy,75,RU,1575507975,85,68.75,161.3,-7.64,2.86
169,channel-port aux basques,100,CA,1575507975,84,47.57,-59.14,35.6,22.01
170,opuwo,83,NA,1575507975,54,-18.06,13.84,70.65,5.68
171,san patricio,16,PY,1575507975,57,-26.98,-56.83,76.08,12.93
172,isangel,75,VU,1575507975,74,-19.55,169.27,84.2,5.82
173,ilek,95,RU,1575507976,95,51.53,53.38,15.39,9.89
174,pilar,43,AR,1575507972,45,-34.46,-58.91,68.0,6.93
175,tarko-sale,99,RU,1575507976,94,64.92,77.78,7.16,11.12
176,xichang,87,CN,1575507976,94,27.88,102.25,18.95,3.98
177,kodiak,1,US,1575507976,66,39.95,-94.76,44.6,6.93
178,upernavik,91,GL,1575507976,70,72.79,-56.15,12.65,15.28
179,woodland,90,US,1575507890,100,38.68,-121.77,55.4,4.7
180,fort nelson,90,CA,1575507976,92,58.81,-122.69,8.6,3.36
181,zhuhai,0,CN,1575507976,71,40.71,112.04,5.0,6.71
182,quchan,81,IR,1575507977,81,37.11,58.51,38.35,4.63
183,killarney,0,AU,1575507977,13,-28.34,152.3,82.0,1.01
184,chiredzi,100,ZW,1575507977,87,-21.05,31.67,65.07,10.54
185,puteyets,100,RU,1575507977,94,65.17,57.09,11.52,6.82
186,nizhniy odes,100,RU,1575507977,96,63.64,54.86,12.56,4.65
187,san buenaventura,0,MX,1575507977,42,27.06,-101.55,66.42,4.38
188,miri,87,NG,1575507977,28,10.31,9.75,68.14,3.76
189,furth,75,AT,1575507977,92,48.17,15.75,30.99,23.04
190,maragogi,98,BR,1575507977,77,-9.01,-35.22,80.15,13.09
